IPC Sport Data Management System;;;;;;;;;;;;;;
IPC Swimming Rankings - Rio 2016 Paralympic Games;;;;;;;;;;;;;;
User;;Guest;;;;;;;;;;;;
Timestamp;;Tue, 11 Aug 2015 12:47:49 +0200;;;;;;;;;;;;
Period Start;;15.10.2014;;;;;;;;;;;;
Period End;;14.8.2016;;;;;;;;;;;;
Course;;Long Course;;;;;;;;;;;;
;;;;;;;;;;;;;;
Event Code;Gender;Event;Rank;SDMS ID;Family Name;Given Name;NPC;Birth;Result;Time (ms);Qualification;Date;City;Country
SWMF5009010000;M;Men's 50 m Freestyle S9;9;5949;Grachat;David;POR;1987;00:26.66;26660;MQS;27.3.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;10;14874;Demianenko;Aleksandr;RUS;1993;00:26.67;26670;MQS;16.7.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;11;5577;Hall;Brenden;AUS;1993;00:26.79;26790;MQS;16.7.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;12;5542;Filho;Vanilton;BRA;1993;00:27.00;27000;MET;15.11.2014;Fortaleza;Brazil
SWMF5009010000;M;Men's 50 m Freestyle S9;13;5924;Bureau;Cody;USA;1988;00:27.04;27040;MET;21.3.2015;Toronto, Ont.;Canada
SWMF5009010000;M;Men's 50 m Freestyle S9;14;14480;Silva;Ruiter;BRA;1992;00:27.22;27220;MET;18.4.2015;Berlin;Germany
SWMF5009010000;M;Men's 50 m Freestyle S9;15;5617;Kalina;Andrei;RUS;1987;00:27.26;27260;MET;5.4.2015;Ramenskoe;Russia
SWMF5009010000;M;Men's 50 m Freestyle S9;16;5712;Morlacchi;Federico;ITA;1993;00:27.41;27410;MET;27.3.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;17;6046;Sors;Tamas;HUN;1991;00:27.68;27680;MET;18.4.2015;Berlin;Germany
SWMF5009010000;M;Men's 50 m Freestyle S9;18;17481;van Duuren;Tim;NED;1998;00:27.70;27700;MET;5.4.2015;Eindhoven;Netherlands
SWMF5009010000;M;Men's 50 m Freestyle S9;18=;20335;White;Lewis;GBR;2000;00:27.76;27760;MET;2.8.2015;Sheffield;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;20;21147;Cui;Yongjia;CHN;1994;00:27.85;27850;MET;19.10.2014;Incheon;South Korea
SWMF5009010000;M;Men's 50 m Freestyle S9;21;21814;Hodge;Timothy;AUS;2001;00:27.92;27920;MET;16.7.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;22;15625;Reynolds;Jesse;NZL;1996;00:28.63;28630;MET;16.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;1;6145;Brasil;Andre;BRA;1984;00:23.20;23200;MQS;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;2;6421;Rodrigues;Phelipe Andrews Melo;BRA;1990;00:23.63;23630;MQS;24.4.2015;Sao Paulo;Brazil
SWMF5010010000;M;Men's 50 m Freestyle S10;3;8075;Stein;Nathan;CAN;1992;00:23.84;23840;MQS;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;4;6389;Pasterfield;Andrew;AUS;1989;00:23.98;23980;MQS;4.4.2015;Sydney;Australia
SWMF5010010000;M;Men's 50 m Freestyle S10;5;7632;Grigoryev;Dmitry;RUS;1992;00:24.71;24710;MQS;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;6;6309;Levecq;David;ESP;1984;00:24.90;24900;MQS;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;7;10591;Bartasinskiy;Dmitry;RUS;1995;00:25.01;25010;MQS;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;8;6477;Tidy;Jeremy;AUS;1987;00:25.32;25320;MET;4.4.2015;Sydney;Australia
SWMF5010010000;M;Men's 50 m Freestyle S10;9;6314;Lin;Furong;CHN;1992;00:25.33;25330;MET;19.10.2014;Incheon;South Korea
SWMF5010010000;M;Men's 50 m Freestyle S10;10;22431;Harrison-Murray;Guy;AUS;1997;00:25.34;25340;MET;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;11;6390;Paul;Kevin;RSA;1991;00:25.40;25400;MET;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;12=;7610;Izadyar;Shahin;IRI;1993;00:25.49;25490;MET;19.10.2014;Incheon;South Korea
SWMF5010010000;M;Men's 50 m Freestyle S10;13;6115;Anderson;Michael;AUS;1987;00:25.95;25950;MET;4.4.2015;Sydney;Australia
SWMF5010010000;M;Men's 50 m Freestyle S10;14;17903;Harazawa;Kahoru;GBR;1997;00:26.01;26010;MET;2.8.2015;Sheffield;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;15;10799;Bouckley;Isaac;CAN;1994;00:26.05;26050;MET;21.3.2015;Toronto, Ont.;Canada
SWMF5010010000;M;Men's 50 m Freestyle S10;16;6397;Pendleton;Rick;AUS;1985;00:26.38;26380;MET;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;17;14673;van de Voort;Olivier;NED;1997;00:26.53;26530;MET;20.2.2015;The Hague;Netherlands
SWMF5010010000;M;Men's 50 m Freestyle S10;18;6253;Huot;Benoit;CAN;1984;00:26.59;26590;MET;6.12.2014;Edmonton, AB;Canada
SWMF5010010000;M;Men's 50 m Freestyle S10;18=;6405;Ploomipuu;Kardo;EST;1988;00:26.61;26610;MET;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;20;11011;van Heerden;Gert Johannes;RSA;1995;00:27.02;27020;MET;13.7.2015;Glasgow;Great Britain
SWMF5010010000;M;Men's 50 m Freestyle S10;21;6247;Hollis;James;GBR;1994;00:27.07;27070;MET;27.6.2015;Glasgow;Great Britain
SWMF5011010000;M;Men's 50 m Freestyle S11;1;17608;Snyder;Bradley;USA;1984;00:25.78;25780;MQS;17.7.2015;Glasgow;Great Britain
SWMF5011010000;M;Men's 50 m Freestyle S11;2;6706;Yang;Bozun;CHN;1986;00:26.77;26770;MQS;15.5.2015;Seoul;South Korea
SWMF5011010000;M;Men's 50 m Freestyle S11;3;6597;Kimura;Keiichi;JPN;1990;00:26.83;26830;MQS;17.7.2015;Glasgow;Great Britain
SWMF5011010000;M;Men's 50 m Freestyle S11;4;11010;Herbst;Hendri;RSA;1992;00:27.04;27040;MQS;17.7.2015;Glasgow;Great Britain
